subject,roi,fold,R0,R_IN_XSUB,R_OUT_XSUB,R_COMP_XSUB,R_native
subj01,ventral,0,0.10882218937550564,0.0975431680714701,0.11376949904479199,0.10249047774075642,0.5782990018368986
subj01,ventral,1,0.042403378362650415,0.07099564340341322,0.04314998351350907,0.07174224855427186,0.7563999686725468
subj01,ventral,2,0.09505444735055624,0.08117128061283199,0.09647485669315618,0.08259168995543194,0.602134016148764
subj01,ventral,3,0.08144673040492087,0.08454785805966955,0.08188824989829721,0.08498937755304589,0.6583030247244106
subj01,ventral,4,0.085199565668667,0.07744617101989587,0.08563300962427639,0.07787961497550527,0.6605488765731953
subj01,ventral,5,0.0472750728655718,0.07934253155139401,0.05107314620225008,0.08314060488807229,0.6191638742458352
subj02,ventral,0,0.18709786832809833,0.09548520154646985,0.199764756729692,0.10815208994806352,0.7260099591820556
subj02,ventral,1,0.07285350826956442,0.04347791701518612,0.07419236772643596,0.04481677647205766,0.6938007118101549
subj02,ventral,2,0.10793941394070951,0.08311425198630738,0.11017541330431722,0.08535025134991511,0.6607112272644369
subj02,ventral,3,0.09842362724020332,0.11706533733082089,0.10145088151155533,0.12009259160217292,0.7405666056854319
subj02,ventral,4,0.07471680356922494,0.08114957685024682,0.07830654684524646,0.08473932012626834,0.6469722073077757
subj02,ventral,5,0.12135082484129478,0.03926213920179148,0.1258646068095131,0.04377592117000981,0.6452005049163918
subj03,ventral,0,0.05563350908085189,0.05967476983829641,0.05724071806340169,0.06128197882084621,0.6717823274518543
subj03,ventral,1,0.03328079445697759,0.06253352806003087,0.040818329824967164,0.07007106342802044,0.6789476001944623
subj03,ventral,2,0.045057596078440426,0.0541505644055932,0.047616144053693375,0.056709112380846145,0.6127566530921178
subj03,ventral,3,0.04488653835174137,0.04719494202890683,0.05151550620016407,0.053823909877329525,0.6453361290055797
subj03,ventral,4,0.0564731213194927,0.043597340318498545,0.0593349503541414,0.04645916935314725,0.6934526398016521
subj03,ventral,5,0.023853698392255485,0.06199681683195021,0.02903429269122473,0.06717741113091945,0.6341504066830815
subj04,ventral,0,0.03169004135716613,0.07439228999057033,0.04278272165852773,0.08548497029193192,0.7264081854669666
subj04,ventral,1,0.07487473703282638,0.0933106025127713,0.07600896130331677,0.09444482678326171,0.5916025541148077
subj04,ventral,2,0.08993644627769014,0.17133601160905834,0.09221424763914089,0.1736138129705091,0.7004503558482251
subj04,ventral,3,0.056623822318314185,0.11318362692897241,0.05967559435615409,0.11623539896681231,0.6658235776843305
subj04,ventral,4,0.0910385928948324,0.11056721037074042,0.09363819186967146,0.11316680934557947,0.6518965064926394
subj04,ventral,5,0.09262952019969077,0.12446541711933978,0.09539758583547714,0.12723348275512616,0.7175972370710397
subj05,ventral,0,0.034305190882839384,0.036050416180199045,0.036606702142198785,0.03835192743955844,0.7222339070914556
subj05,ventral,1,0.04989708230557105,0.06943790730843712,0.058310391101573,0.07785121610443907,0.6221400588497084
subj05,ventral,2,0.08945668530965731,0.04703070915970714,0.10478349881738894,0.06235752266743877,0.7549319062289293
subj05,ventral,3,0.05494836761930069,0.037169358378153314,0.06800206536697934,0.05022305612583196,0.6538903176154842
subj05,ventral,4,0.09064902591766223,0.06756872274483441,0.10213696800195073,0.07905666482912291,0.7944604890487796
subj05,ventral,5,0.0571264037565907,0.028888880638989867,0.06057705752571859,0.032339534408117765,0.6946609287889529
subj06,ventral,0,0.051041215255136586,0.04378107034472403,0.05332607156613364,0.04606592665572109,0.655271676032819
subj06,ventral,1,0.08332968126213525,0.050725304930330554,0.08635476798020297,0.05375039164839829,0.5847871577919945
