subject,roi,fold,di,dj,SIM
subj01,ventral,5,3,5,0.19814786307393992
subj01,ventral,5,3,6,0.3546635759447707
subj01,ventral,5,4,5,0.1541885040918563
subj01,ventral,5,4,6,0.19697393562059531
subj01,ventral,5,5,6,0.22954118485140942
subj02,ventral,0,0,1,0.18822242619413831
subj02,ventral,0,0,2,0.22742907760192882
subj02,ventral,0,0,3,0.18796772437842635
subj02,ventral,0,0,4,0.1788575618249873
subj02,ventral,0,0,5,0.035398239923201014
subj02,ventral,0,0,6,0.19474523788618928
subj02,ventral,0,1,2,0.29665415251984834
subj02,ventral,0,1,3,0.24314828863360038
subj02,ventral,0,1,4,0.24410008655097276
subj02,ventral,0,1,5,0.060755077185041875
subj02,ventral,0,1,6,0.2598943793905934
subj02,ventral,0,2,3,0.28529181834491746
subj02,ventral,0,2,4,0.284311835588403
subj02,ventral,0,2,5,0.08864618678819933
subj02,ventral,0,2,6,0.30041438790873964
subj02,ventral,0,3,4,0.2250124443449839
subj02,ventral,0,3,5,0.05704818901304682
subj02,ventral,0,3,6,0.30594443451247144
subj02,ventral,0,4,5,0.07809127250995637
subj02,ventral,0,4,6,0.26571770241819126
subj02,ventral,0,5,6,0.058411683632472795
subj02,ventral,1,0,1,0.08554526302896011
subj02,ventral,1,0,2,0.1610562535702476
subj02,ventral,1,0,3,0.1469692262612216
subj02,ventral,1,0,4,0.09478249755202586
subj02,ventral,1,0,5,0.10644437879765496
subj02,ventral,1,0,6,0.14630466879992698
subj02,ventral,1,1,2,0.1780777626722054
subj02,ventral,1,1,3,0.16324766787800898
subj02,ventral,1,1,4,0.15375930059448734
subj02,ventral,1,1,5,0.13637149997339765
subj02,ventral,1,1,6,0.19295597558044295
subj02,ventral,1,2,3,0.3200395907985915
subj02,ventral,1,2,4,0.2735851828019886
subj02,ventral,1,2,5,0.272351144871758
subj02,ventral,1,2,6,0.36265382731529916
subj02,ventral,1,3,4,0.28432786337487564
subj02,ventral,1,3,5,0.2250316192098013
subj02,ventral,1,3,6,0.40625298903672524
subj02,ventral,1,4,5,0.23790021636935216
subj02,ventral,1,4,6,0.309758074407791
subj02,ventral,1,5,6,0.2579772045056121
subj02,ventral,2,0,1,0.10141951214190704
subj02,ventral,2,0,2,0.11940511436809906
subj02,ventral,2,0,3,0.03379360325368953
subj02,ventral,2,0,4,0.035531036708894084
subj02,ventral,2,0,5,0.053597995673534835
subj02,ventral,2,0,6,0.10685078957756043
subj02,ventral,2,1,2,0.30224297241754394
subj02,ventral,2,1,3,0.09379591920002794
subj02,ventral,2,1,4,0.10946217319423673
subj02,ventral,2,1,5,0.17771910905688726
subj02,ventral,2,1,6,0.29975687135425033
subj02,ventral,2,2,3,0.19543625093946715
subj02,ventral,2,2,4,0.08689119248585744
subj02,ventral,2,2,5,0.2096051637190559
subj02,ventral,2,2,6,0.3707415683810593
subj02,ventral,2,3,4,0.04412242793901468
subj02,ventral,2,3,5,0.09036526745975085
subj02,ventral,2,3,6,0.21888284954524442
subj02,ventral,2,4,5,0.07397926977003144
subj02,ventral,2,4,6,0.0835589604753633
subj02,ventral,2,5,6,0.19856975754245842
subj02,ventral,3,0,1,0.027497306679516803
subj02,ventral,3,0,2,0.054572068440105516
subj02,ventral,3,0,3,0.04535751590973303
subj02,ventral,3,0,4,0.02557548095241725
subj02,ventral,3,0,5,0.024413772954958127
subj02,ventral,3,0,6,0.04225183435875756
subj02,ventral,3,1,2,0.1785220309687194
subj02,ventral,3,1,3,0.16866451623465
subj02,ventral,3,1,4,0.13698153399956586
subj02,ventral,3,1,5,0.08147290345976319
subj02,ventral,3,1,6,0.18435191480494714
subj02,ventral,3,2,3,0.3237986125643147
subj02,ventral,3,2,4,0.26063676580906414
subj02,ventral,3,2,5,0.1505606562042851
subj02,ventral,3,2,6,0.390998777305728
subj02,ventral,3,3,4,0.1699517659180168
subj02,ventral,3,3,5,0.1073773059802326
subj02,ventral,3,3,6,0.31197107337700614
subj02,ventral,3,4,5,0.12434234530963578
subj02,ventral,3,4,6,0.26991376230687525
subj02,ventral,3,5,6,0.1476577983057571
subj02,ventral,4,0,1,0.14388753918204844
subj02,ventral,4,0,2,0.2100343945731527
subj02,ventral,4,0,3,0.1504815950515601
subj02,ventral,4,0,4,0.08072534031672596
subj02,ventral,4,0,5,0.11753070470872394
subj02,ventral,4,0,6,0.2203543234680192
subj02,ventral,4,1,2,0.22706199427107981
subj02,ventral,4,1,3,0.15543040920644044
subj02,ventral,4,1,4,0.10496145080748116
