subject,roi,SELF_IN,SELF_OUT,E_IN,E_OUT,WITHIN_TRANSFER,OUTSIDE_TRANSFER,TOTAL_XSUB,COMPOSITE_FRACTION
subj01,ventral,0.9999999999999992,0.9999999999999992,0.022693135445567798,-0.00406195962402995,0.16812161115164428,0.004159812534208093,0.01832442016993031,0.019018537532160883
subj02,ventral,0.9999999999999994,0.9999999999999994,-0.008184439222128888,-0.0003831568115507782,0.029645452236402647,0.010429405156623406,0.00854313793358791,0.00964049695714828
subj03,ventral,0.9999999999999997,0.9999999999999999,0.0002006044426418642,-0.0019436891227839262,0.13743012595280704,0.008691855873281484,0.028757362192280162,0.029143332574834906
subj04,ventral,0.9999999999999979,0.9999999999999996,0.05072746851947498,-0.0019031826519097159,0.4771898586219295,0.007475327294684988,0.07417392088938345,0.07846339570464816
subj05,ventral,0.9999999999999999,0.9999999999999999,-0.013497750484974981,0.002010583210604383,0.03803647786699954,0.015617974153700323,0.009122101091099193,0.008064233142771347
subj06,ventral,0.9999999999999994,0.9999999999999988,0.010853649177234642,-0.0018271402005491297,0.0,0.008547312278112871,0.0010227962262775005,0.0011283051025951481
subj07,ventral,0.9999999999999999,0.9999999999999997,-0.003298656260569075,-0.0031631259106510794,0.01584180282609325,0.016225009641992805,0.009737767547431456,0.00980625180084902
subj08,ventral,0.9999999999999999,0.9999999999999997,0.004095354394933313,-0.002819107351749855,0.024652953543866655,0.01632448245652376,0.005520244473616517,0.008685100062119823
subj01,lateral,0.9999999999999986,0.9999999999999992,-0.020496380166603947,-0.0012171010437042721,0.0,0.008061740558887245,0.0,0.0
subj02,lateral,0.9999999999999994,0.9999999999999988,-0.031119987175479553,-0.00199364828154412,0.036991759752587484,0.004738700335620467,0.007337979971742979,0.008349955802777571
subj03,lateral,0.9999999999999979,0.9999999999999994,-0.0007622664306429725,0.0010629174914849628,0.12761882763281668,0.012725140416199272,0.021367847518076296,0.02181071561095328
subj04,lateral,0.8333333333333289,0.9999999999999996,-0.036493670408458405,-0.002903006813691917,0.0,0.006127140743258842,0.0,0.0
subj05,lateral,0.6666666666666647,0.9999999999999997,-0.0009307710976151686,0.0005018380389248435,0.25542013508672934,0.01616290932198836,0.024854068685997894,0.024033290002570474
subj06,lateral,0.8333333333333283,0.9999999999999996,-0.01164834527659977,0.002646833132693338,0.16666666666666666,0.01653840370493539,0.004113456398598772,0.004146582979975951
subj07,lateral,0.8333333333333298,1.0,0.02091790600207405,-0.006174968950985006,0.27330624829717504,0.010581477308812816,0.013785300693854835,0.01377209541226486
subj08,lateral,0.9999999999999996,0.9999999999999997,-0.004344492929216889,-0.0003722288867075117,0.0,0.01659622689688243,0.0006111362298781081,0.0010494660354220663
